Departamento,Municipio,lat,lon,DIF_min,DIF_max,DIF_mean,DIF_count,DIF_std,DIF_median,DNI_min,DNI_max,DNI_mean,DNI_count,DNI_std,DNI_median,GHI_min,GHI_max,GHI_mean,GHI_count,GHI_std,GHI_median,GTI_min,GTI_max,GTI_mean,GTI_count,GTI_std,GTI_median,OPTA_min,OPTA_max,OPTA_mean,OPTA_count,OPTA_std,OPTA_median,PVOUT_min,PVOUT_max,PVOUT_mean,PVOUT_count,PVOUT_std,PVOUT_median,TEMP_min,TEMP_max,TEMP_mean,TEMP_count,TEMP_std,TEMP_median
CAQUETA,FLORENCIA,1.7491394755908363,-75.5582369448487,802.8189697265625,958.051025390625,909.8021632727053,33098,13.177102761944512,912.3939819335938,413.8280029296875,1200.5770263671875,909.2971176506134,33098,186.34289908800505,893.4019775390625,1132.6400146484375,1795.9339599609375,1570.2994742884766,33098,153.00928727916258,1562.5389404296875,1134.1009521484375,1801.0479736328125,1574.5381594054022,33098,153.747376533738,1567.2879638671875,2.0,6.0,4.446236559139785,186,0.8030933661738601,5.0,1016.1259765625,1414.97802734375,1267.5209872397581,2978,99.33795387068774,1262.303955078125,8.199999809265137,25.399999618530273,20.05647928559436,2978,4.1799161135252945,20.700000762939453
CAQUETA,ALBANIA,1.2278748243014679,-75.88233316816417,918.60400390625,928.4660034179688,923.025512104283,5370,1.8628139150550491,922.6220092773438,1113.64697265625,1166.6080322265625,1144.2530726256982,5370,11.461278601479682,1145.7889404296875,1746.6259765625,1778.7679443359375,1764.8774674115457,5370,7.939559476331762,1765.9840087890625,1749.9129638671875,1782.7850341796875,1768.480260707635,5370,8.122285882753742,1769.635986328125,4.0,5.0,4.03030303030303,33,0.17141982574219333,4.0,1381.740966796875,1405.116943359375,1395.3137886597938,485,5.980074060740117,1395.9859619140625,23.600000381469727,25.100000381469727,24.45752657860825,485,0.36293480682506113,24.5
CAQUETA,BELEN DE LOS ANDAQUIES,1.5009347019462047,-75.87565260354013,822.5430297851562,951.8419799804688,915.9035801990435,15474,13.474748905581167,918.968994140625,429.53399658203125,1172.8179931640625,939.5094351815949,15474,190.92138594135102,979.5999755859375,1189.6190185546875,1780.593994140625,1609.4603851622076,15474,150.86853625688622,1648.738037109375,1192.906005859375,1784.97705078125,1612.6439188315885,15474,151.55062270913837,1652.0260009765625,2.0,5.0,3.5977011494252875,87,0.6858130524218987,4.0,1017.9520263671875,1407.6739501953125,1291.264842632332,1398,103.44474489729689,1320.0140380859375,10.0,25.0,20.92804033664163,1398,3.1788667026991755,21.799999237060547
CAQUETA,EL DONCELLO,1.791380721516764,-75.193941171706,815.60302734375,945.2670288085938,907.085479604622,14366,16.761200792131604,913.125,456.56201171875,1238.56298828125,1044.483989976333,14366,220.05908677959613,1189.6190185546875,1153.4599609375,1820.041015625,1671.3973270221356,14366,183.26175288205542,1791.551025390625,1155.6510009765625,1825.885009765625,1676.2608937769735,14366,184.0769825601735,1797.030029296875,3.0,5.0,4.743589743589744,78,0.5172882308162056,5.0,1019.7780151367188,1440.1810302734375,1336.9531009244993,1298,122.20638796654146,1413.1519775390625,7.800000190734863,25.600000381469727,21.758011122881356,1298,4.399175313000748,24.600000381469727
CAQUETA,EL PAUJIL,1.617748144214434,-75.23404219461607,803.5499877929688,936.8660278320312,910.7893589184474,16051,15.457376444676859,916.4119873046875,418.9419860839844,1233.81396484375,1082.7874898760201,16051,211.51968364610184,1195.4630126953125,1105.97705078125,1820.041015625,1700.3208522833468,16051,179.77236171878866,1794.8380126953125,1098.6719970703125,1825.885009765625,1705.1924490685938,16051,180.93198976944797,1799.9520263671875,3.0,6.0,4.827956989247312,93,0.5979113451379717,5.0,990.9229736328125,1435.7979736328125,1355.6114186851212,1445,119.2715158728122,1415.343994140625,7.699999809265137,25.600000381469727,22.4175794766436,1445,4.670323939162411,25.100000381469727
CAQUETA,LA MONTAÑITA,1.302867349911165,-75.2357303433056,837.8839721679688,941.2490234375,920.153185720741,22130,7.000870660311039,922.2559814453125,781.27001953125,1206.7860107421875,1140.9408947130592,22130,61.75298376568565,1155.6510009765625,1473.052978515625,1803.239013671875,1756.2738364211477,22130,47.729506047357596,1769.27099609375,1472.68798828125,1808.718017578125,1761.0398553999096,22130,47.99003462074045,1774.01904296875,5.0,6.0,5.025210084033613,119,0.15676267316115658,5.0,1273.626953125,1422.2840576171875,1389.8904833836857,1986,29.362760361366593,1396.3509521484375,17.399999618530273,25.700000762939453,24.71797504405841,1986,1.5763369397468034,25.299999237060547
CAQUETA,MILAN,1.146698629626485,-75.3866489132045,910.9340209960938,927.0040283203125,922.3080760244995,15837,3.2166774774165297,923.3519897460938,1118.39599609375,1192.176025390625,1149.9321841257813,15837,16.277374102313985,1147.98095703125,1745.89501953125,1791.551025390625,1765.9758792700638,15837,10.754852376033664,1765.2530517578125,1749.5479736328125,1795.9339599609375,1770.351076592789,15837,11.04895865603534,1769.635986328125,4.0,5.0,4.978494623655914,93,0.14506169422830154,5.0,1380.64501953125,1410.22998046875,1393.9137991573034,1424,7.0669232486731905,1393.428955078125,25.299999237060547,25.700000762939453,25.47731686709972,1424,0.098505182756726,25.5
CAQUETA,MORELIA,1.3829949671804738,-75.6738132658007,893.0360107421875,945.2670288085938,920.9026533996683,6030,4.406485979793811,920.7949829101562,881.7139892578125,1184.1400146484375,1148.452072968491,6030,43.40351531163948,1157.842041015625,1593.219970703125,1787.16796875,1768.2124378109452,6030,27.67070650310706,1774.75,1597.60400390625,1791.551025390625,1772.5258706467662,6030,27.98797822526167,1779.498046875,4.0,5.0,4.838709677419355,31,0.3677985242255284,5.0,1302.115966796875,1408.76904296875,1397.7635073260074,546,17.31771837032525,1401.8299560546875,20.799999237060547,25.600000381469727,24.55842562385531,546,0.9222982653271449,24.799999237060547
CAQUETA,SAN JOSE DEL FRAGUA,1.3046976961819514,-76.11000952021539,746.5709838867188,957.6859741210938,915.8928129237663,16961,15.153181029910241,918.968994140625,446.33599853515625,1138.4840087890625,882.7678202936148,16961,187.22270804366107,877.3300170898438,1096.845947265625,1760.1400146484375,1555.726431224574,16961,152.22450448524003,1564.73095703125,1099.0369873046875,1764.157958984375,1558.07098638052,16961,152.968946133555,1566.9219970703125,1.0,4.0,2.9375,96,0.8875586835058663,3.0,1031.8310546875,1389.4110107421875,1253.5988486842105,1520,102.01521059108896,1259.7469482421875,10.300000190734863,24.799999237060547,20.17414422286184,1520,3.860577877825456,21.150001525878906
CAQUETA,VALPARAISO,1.061291244188798,-75.62704541447388,915.6820068359375,929.5609741210938,923.7999421296296,17280,2.582959658252246,924.0819702148438,1099.7679443359375,1175.3740234375,1135.4188657407408,17280,13.98158330255013,1135.197021484375,1736.032958984375,1782.0550537109375,1756.8856481481482,17280,9.072107756288705,1756.1219482421875,1738.9549560546875,1786.43798828125,1760.7074074074073,17280,9.301160237742327,1760.1400146484375,4.0,5.0,4.53125,96,0.4990224819584785,5.0,1370.41796875,1405.8470458984375,1387.9623794212218,1555,6.932732344895934,1387.5849609375,24.399999618530273,25.600000381469727,25.292732616559487,1555,0.20640521768851827,25.299999237060547
