Departamento,Municipio,DIF_min,DIF_max,DIF_mean,DIF_std,DIF_median,DNI_min,DNI_max,DNI_mean,DNI_std,DNI_median,GHI_min,GHI_max,GHI_mean,GHI_std,GHI_median,GTI_min,GTI_max,GTI_mean,GTI_std,GTI_median,OPTA_min,OPTA_max,OPTA_mean,OPTA_std,OPTA_median,PVOUT_min,PVOUT_max,PVOUT_mean,PVOUT_std,PVOUT_median,TEMP_min,TEMP_max,TEMP_mean,TEMP_std,TEMP_median
SUCRE,MORROA,939.7880249023438,954.7639770507812,949.755361930295,3.342283934127647,950.7459716796875,1269.6090087890625,1370.41796875,1314.7606121537087,18.596667767488274,1307.22998046875,1877.75,1936.5560302734375,1901.9311885612153,11.291016648871008,1897.4739990234375,1902.9520263671875,1968.33203125,1931.6740393208222,11.90406566494375,1926.6939697265625,12.0,12.0,12.0,0.0,12.0,1500.08203125,1541.35498046875,1514.480198019802,9.643999660736444,1510.6739501953125,26.799999237060547,27.600000381469727,27.199506400835396,0.21788758862988025,27.100000381469727
SAN ANDRES PROVIDENCIA Y SANTA CATALINA,SAN ANDRES,819.2559814453125,842.6320190429688,828.2386363636364,5.163847367323514,827.291015625,1604.177978515625,1730.553955078125,1687.624112215909,20.99317314361182,1689.64599609375,2009.60595703125,2058.18408203125,2040.364346590909,8.84364974384002,2041.3819580078125,2054.531005859375,2106.39697265625,2088.193359375,9.744566497424254,2089.594970703125,14.0,14.0,14.0,0.0,14.0,1641.7989501953125,1665.905029296875,1655.2445068359375,6.288262627807818,1654.947998046875,26.100000381469727,26.700000762939453,26.46875,0.156998565461644,26.5
SAN ANDRES PROVIDENCIA Y SANTA CATALINA,PROVIDENCIA Y SANTA CATALINA,819.6209716796875,870.0260009765625,843.8318452380952,11.310844368554747,841.5360107421875,1502.27294921875,1713.7530517578125,1629.0684523809523,44.770560543196964,1631.7545166015625,1967.967041015625,2057.087890625,2024.2068452380952,18.216523182845652,2026.406982421875,2015.449951171875,2106.39697265625,2073.091836734694,19.665904008811193,2075.716064453125,14.0,14.0,14.0,0.0,14.0,1627.9189453125,1666.27001953125,1650.6103515625,10.948537027853584,1651.660400390625,24.299999237060547,26.700000762939453,25.90833282470703,0.6095878133832582,26.049999237060547
ARAUCA,ARAUCA,887.9229736328125,922.2559814453125,906.2156912109608,6.629474183554495,906.1849975585938,1331.3360595703125,1502.27294921875,1403.3799308325272,31.00533497331018,1405.8470458984375,1869.7149658203125,1961.758056640625,1909.3835084604275,15.874729633316402,1911.35302734375,1895.281982421875,1995.7259521484375,1939.6950800991135,17.52371166169645,1942.0340576171875,11.0,12.0,11.488372093023257,0.499864773493132,11.0,1488.759033203125,1559.6180419921875,1519.7227299528302,12.172000103440755,1521.2659912109375,26.0,27.100000381469727,26.7413330078125,0.20367713631890103,26.799999237060547
ARAUCA,PUERTO RONDON,895.9580078125,919.698974609375,908.0738898040139,4.456938886173622,908.3770141601562,1342.2939453125,1442.738037109375,1390.801089185464,20.737580651827273,1388.6800537109375,1879.2110595703125,1935.093994140625,1906.428749117558,11.585307213536531,1905.14404296875,1905.14404296875,1962.488037109375,1933.2686993646419,11.598410099661841,1932.1719970703125,11.0,11.0,11.0,0.0,11.0,1496.7939453125,1538.0679931640625,1516.7969334330592,8.459796388489057,1515.7879638671875,25.899999618530273,26.600000381469727,26.420157068062828,0.15615478923585616,26.399999618530273
ARAUCA,CRAVO NORTE,867.10400390625,914.2210083007812,900.5457387201416,6.274105765069452,900.3410034179688,1359.4599609375,1493.8719482421875,1395.8388675906813,15.861127350493412,1394.8900146484375,1875.1939697265625,1946.052001953125,1900.9232674727218,8.942596932458242,1901.1259765625,1901.8570556640625,1975.636962890625,1929.9463285166617,9.399143910007423,1930.345947265625,11.0,12.0,11.020833333333334,0.14282613750835507,11.0,1490.219970703125,1543.1810302734375,1511.4512115258676,7.211020020869644,1511.77001953125,26.5,27.0,26.79120620497708,0.10646845893569155,26.799999237060547
ARAUCA,ARAUQUITA,891.5750122070312,917.5079956054688,905.6571313659445,4.5041912874664565,905.0900268554688,1310.5169677734375,1394.8900146484375,1358.2617264089286,18.953975884766216,1362.748046875,1845.9739990234375,1905.14404296875,1881.6113820320747,13.260121898731295,1885.4200439453125,1867.887939453125,1931.8070068359375,1907.413201950631,14.553797520712884,1911.718994140625,10.0,11.0,10.864253393665159,0.34251929172444456,11.0,1475.9749755859375,1516.5179443359375,1499.4995808885164,9.967274538909574,1502.27294921875,24.5,26.399999618530273,25.829085463816707,0.3566876308785122,25.899999618530273
ARAUCA,FORTUL,679.364990234375,926.2739868164062,880.7701187335092,32.435638543125854,897.4190063476562,354.2919921875,1376.626953125,1010.271635883905,328.10742447781786,1140.31005859375,986.905029296875,1893.4560546875,1600.3172823218997,265.50446203361787,1695.125,985.0789794921875,1917.927978515625,1613.69709762533,274.1115364503686,1710.1009521484375,6.0,11.0,9.08235294117647,1.2761316980338056,10.0,910.2030029296875,1508.8480224609375,1309.9976138032305,187.4680515449292,1393.7939453125,-0.8999999761581421,25.5,18.201908957415565,7.108357581537076,21.600000381469727
ARAUCA,SARAVENA,764.833984375,916.4119873046875,891.0780693229673,8.551882449518196,891.9400024414062,424.4200134277344,1324.761962890625,1137.0502915451896,215.62927752376632,1229.4320068359375,1111.4560546875,1852.1829833984375,1712.5260770975058,165.01800890162156,1783.8809814453125,1097.9420166015625,1873.7320556640625,1728.6571104632328,170.74471884248058,1802.14404296875,7.0,10.0,9.492957746478874,0.7482042245235733,10.0,962.7990112304688,1480.3580322265625,1379.9694244604316,122.46698683489116,1432.6929931640625,13.300000190734863,24.700000762939453,22.490197490445144,2.0621641285827637,23.200000762939453
ARAUCA,TAME,617.27197265625,944.5360107421875,886.9713396960057,34.27584184288342,896.6890258789062,227.91600036621094,1474.1490478515625,1166.4547472605161,305.29866681750985,1349.2340087890625,847.3800048828125,1954.0880126953125,1719.4219865676919,248.19535615338492,1874.4630126953125,842.2659912109375,1978.1939697265625,1738.560565570873,253.8218222426745,1895.281982421875,5.0,12.0,9.42065491183879,1.416661052738054,10.0,856.510986328125,1562.905029296875,1400.0466174854812,168.57621277189895,1509.2130126953125,-1.2000000476837158,26.399999618530273,19.83280440668655,6.692423730060185,21.799999237060547
